ID,SID,Gender,Vowel,Condition,Rating
3,m4,male,o,harmonic,81
3,m4,male,o,estimated,13
3,m2,male,o,anchor,83
3,m2,male,o,estimated,19
3,m2,male,o,synthesized,39
3,m2,male,o,harmonic,79
3,m2,male,o,reference,100
3,m8,male,o,anchor,21
3,m8,male,o,estimated,39
3,m8,male,o,reference,100
3,m8,male,o,harmonic,100
3,m8,male,o,synthesized,54
3,f4,female,i,synthesized,42
3,f4,female,i,reference,100
3,f4,female,i,harmonic,80
3,f4,female,i,estimated,71
3,f4,female,i,anchor,21
3,m1,male,i,anchor,38
3,m1,male,i,reference,100
3,m1,male,i,synthesized,59
3,m1,male,i,estimated,59
3,m1,male,i,harmonic,100
3,m5,male,o,anchor,23
3,m5,male,o,harmonic,86
3,m5,male,o,estimated,23
3,m5,male,o,synthesized,45
3,m5,male,o,reference,100
3,f5,female,a,harmonic,87
3,f5,female,a,anchor,23
3,f5,female,a,reference,100
3,f5,female,a,synthesized,42
3,f5,female,a,estimated,75
3,f4,female,a,synthesized,23
3,f4,female,a,anchor,21
3,f4,female,a,harmonic,83
3,f4,female,a,reference,100
3,f4,female,a,estimated,78
3,m5,male,a,reference,95
3,m5,male,a,harmonic,86
3,m5,male,a,synthesized,26
3,m5,male,a,anchor,50
3,m5,male,a,estimated,29
3,m2,male,a,reference,93
3,m2,male,a,anchor,65
3,m2,male,a,estimated,66
3,m2,male,a,harmonic,87
3,m2,male,a,synthesized,88
3,f5,female,i,harmonic,100
3,f5,female,i,anchor,42
3,f5,female,i,synthesized,70
3,f5,female,i,reference,77
3,f5,female,i,estimated,81
3,f1,female,a,harmonic,77
3,f1,female,a,anchor,24
3,f1,female,a,estimated,20
3,f1,female,a,synthesized,52
3,f1,female,a,reference,100
3,f8,female,o,synthesized,17
3,f8,female,o,estimated,19
3,f8,female,o,harmonic,85
3,f8,female,o,reference,98
3,f8,female,o,anchor,68
3,f4,female,o,reference,100
3,f4,female,o,estimated,67
3,f4,female,o,harmonic,100
3,f4,female,o,synthesized,87
3,f4,female,o,anchor,63
3,m1,male,a,anchor,78
3,m1,male,a,synthesized,37
3,m1,male,a,estimated,35
3,m1,male,a,harmonic,100
3,m1,male,a,reference,100
3,m8,male,i,synthesized,68
3,m8,male,i,anchor,45
3,m8,male,i,estimated,63
3,m8,male,i,harmonic,85
3,m8,male,i,reference,100
3,m4,male,i,harmonic,67
3,m4,male,i,reference,49
3,m4,male,i,synthesized,29
