ID,SID,Gender,Vowel,Condition,Rating
13,f5,female,o,harmonic,-11
13,f1,female,a,harmonic,-15
13,f8,female,a,harmonic,-11
13,f6,female,a,harmonic,-22
13,f5,female,i,harmonic,28
13,f4,female,o,harmonic,-35
13,f6,female,o,harmonic,8
13,m1,male,o,harmonic,29
13,f8,female,i,harmonic,6
13,m1,male,i,harmonic,-17
13,m4,male,i,harmonic,-16
13,f4,female,a,harmonic,-18
13,m5,male,o,harmonic,-21
13,m5,male,i,harmonic,-6
13,f6,female,i,harmonic,-10
13,f1,female,i,harmonic,-22
14,m2,male,o,harmonic,33
14,f1,female,a,harmonic,-35
14,f6,female,i,harmonic,10
14,m5,male,o,harmonic,-17
14,m5,male,a,harmonic,-10
14,m1,male,i,harmonic,-25
14,f5,female,i,harmonic,-10
14,f4,female,a,harmonic,-12
14,m8,male,a,harmonic,13
14,f8,female,a,harmonic,-15
14,m1,male,a,harmonic,6
14,m5,male,i,harmonic,22
14,m8,male,i,harmonic,-22
14,f5,female,a,harmonic,-24
14,f6,female,a,harmonic,-22
14,f1,female,o,harmonic,-68
14,m4,male,o,harmonic,-2
14,m2,male,i,harmonic,4
14,f6,female,o,harmonic,7
14,m4,male,i,harmonic,-5
14,m4,male,a,harmonic,36
14,f1,female,i,harmonic,-20
14,m2,male,a,harmonic,10
14,f4,female,i,harmonic,-10
14,m1,male,o,harmonic,-12
14,f5,female,o,harmonic,18
14,f4,female,o,harmonic,-28
14,f8,female,o,harmonic,0
14,f8,female,i,harmonic,-4
14,m8,male,o,harmonic,1
15,m8,male,i,harmonic,-12
15,f8,female,o,harmonic,-28
15,f6,female,o,harmonic,-15
15,f8,female,i,harmonic,-24
15,m1,male,i,harmonic,-13
15,m8,male,o,harmonic,-17
15,m1,male,a,harmonic,-17
15,f4,female,i,harmonic,-14
15,m5,male,a,harmonic,-57
15,f5,female,i,harmonic,-17
15,f1,female,o,harmonic,-45
15,f6,female,i,harmonic,0
15,m2,male,i,harmonic,-13
15,f5,female,a,harmonic,-9
15,f1,female,i,harmonic,-37
15,m5,male,o,harmonic,-52
15,m1,male,o,harmonic,-19
15,f5,female,o,harmonic,0
15,m4,male,a,harmonic,-28
15,f6,female,a,harmonic,-18
15,f4,female,o,harmonic,-50
15,f4,female,a,harmonic,-38
15,m8,male,a,harmonic,-35
15,m4,male,i,harmonic,-28
15,m4,male,o,harmonic,-60
15,f1,female,a,harmonic,-40
15,m2,male,o,harmonic,-46
15,m2,male,a,harmonic,-28
15,m5,male,i,harmonic,-70
15,f8,female,a,harmonic,-40
16,f6,female,i,harmonic,-11
16,f8,female,a,harmonic,-20
16,m5,male,o,harmonic,18
16,m4,male,a,harmonic,-13
16,f6,female,a,harmonic,28
16,m4,male,o,harmonic,-36
16,f4,female,a,harmonic,-27
16,f4,female,i,harmonic,-22
16,f8,female,o,harmonic,-17
16,f5,female,i,harmonic,0
16,f6,female,o,harmonic,-31
16,m5,male,a,harmonic,-17
16,f4,female,o,harmonic,-45
16,m8,male,o,harmonic,1
16,m5,male,i,harmonic,-21
16,m2,male,i,harmonic,-33
16,m1,male,i,harmonic,-35
16,m1,male,o,harmonic,-21
16,m8,male,i,harmonic,-25
16,f1,female,o,harmonic,-62
16,m4,male,i,harmonic,-26
16,m1,male,a,harmonic,-31
16,f8,female,i,harmonic,-50
16,f1,female,i,harmonic,-31
16,f1,female,a,harmonic,-63
16,m2,male,a,harmonic,-10
16,f5,female,o,harmonic,-35
16,m2,male,o,harmonic,-29
16,m8,male,a,harmonic,-13
16,f5,female,a,harmonic,-28
17,m4,male,a,harmonic,-12
17,m8,male,a,harmonic,-5
17,f1,female,o,harmonic,-20
17,m5,male,i,harmonic,-6
17,m1,male,a,harmonic,16
17,f4,female,a,harmonic,11
17,f4,female,i,harmonic,-20
17,m8,male,i,harmonic,-22
17,f6,female,o,harmonic,-11
17,f5,female,o,harmonic,-18
17,f1,female,a,harmonic,-28
17,f6,female,i,harmonic,-5
17,m1,male,i,harmonic,0
17,m4,male,o,harmonic,-11
17,f5,female,i,harmonic,0
17,m5,male,o,harmonic,-39
17,f8,female,a,harmonic,-5
17,f8,female,o,harmonic,-5
17,m8,male,o,harmonic,-24
17,m5,male,a,harmonic,1
17,f8,female,i,harmonic,-8
17,m2,male,i,harmonic,-40
17,f6,female,a,harmonic,-5
17,f1,female,i,harmonic,-8
17,f5,female,a,harmonic,-21
17,m2,male,a,harmonic,-14
17,m2,male,o,harmonic,1
17,m1,male,o,harmonic,-40
17,m4,male,i,harmonic,-6
17,f4,female,o,harmonic,5
18,f4,female,i,harmonic,27
18,f5,female,o,harmonic,-12
18,f8,female,o,harmonic,-39
18,m8,male,o,harmonic,-25
18,m2,male,a,harmonic,26
18,f4,female,o,harmonic,-1
18,f8,female,a,harmonic,-23
18,m1,male,a,harmonic,-26
18,f4,female,a,harmonic,29
18,m4,male,i,harmonic,8
18,m4,male,o,harmonic,-8
18,m5,male,i,harmonic,0
18,m1,male,o,harmonic,2
18,m2,male,i,harmonic,8
18,f6,female,o,harmonic,-48
18,f6,female,a,harmonic,-13
18,f1,female,i,harmonic,-36
