ID,SID,Gender,Vowel,Condition,Rating
7,m4,male,i,anchor,-82
7,m4,male,o,anchor,-87
8,f6,female,a,anchor,-24
8,m8,male,i,anchor,-25
8,m1,male,a,anchor,-19
8,m5,male,o,anchor,-41
8,f1,female,a,anchor,-47
8,m1,male,o,anchor,-50
8,m4,male,i,anchor,-50
8,f8,female,i,anchor,-57
8,f6,female,o,anchor,-61
8,f1,female,o,anchor,-69
8,f8,female,o,anchor,-65
8,m4,male,o,anchor,-65
8,f1,female,i,anchor,-67
8,m8,male,a,anchor,-61
8,m2,male,i,anchor,-60
8,f5,female,o,anchor,-46
8,m5,male,a,anchor,-58
8,m2,male,o,anchor,-63
8,f5,female,a,anchor,-61
8,f6,female,i,anchor,-56
8,f4,female,i,anchor,-60
8,m4,male,a,anchor,-65
8,f5,female,i,anchor,-44
8,m1,male,i,anchor,-63
8,m8,male,o,anchor,-63
8,f4,female,a,anchor,-53
8,m5,male,i,anchor,-61
8,f8,female,a,anchor,-62
8,m2,male,a,anchor,-54
8,f4,female,o,anchor,-63
9,m5,male,i,anchor,-44
9,m8,male,o,anchor,-21
9,f6,female,i,anchor,-70
9,f1,female,i,anchor,-37
9,f1,female,a,anchor,-25
9,m2,male,a,anchor,-44
9,f8,female,o,anchor,-31
9,f4,female,o,anchor,-34
9,m4,male,a,anchor,-18
9,m5,male,a,anchor,-35
9,f6,female,a,anchor,-51
9,m1,male,o,anchor,-41
9,f4,female,i,anchor,-36
9,f5,female,i,anchor,-76
9,f4,female,a,anchor,14
9,m2,male,i,anchor,-56
9,m1,male,a,anchor,-16
9,f5,female,a,anchor,-57
9,m4,male,i,anchor,-39
9,m8,male,a,anchor,-41
9,f1,female,o,anchor,-19
9,f5,female,o,anchor,-35
9,m5,male,o,anchor,-20
9,f8,female,i,anchor,-10
9,m2,male,o,anchor,-21
9,m8,male,i,anchor,-32
9,m4,male,o,anchor,-11
9,m1,male,i,anchor,-41
9,f6,female,o,anchor,-2
9,f8,female,a,anchor,-49
10,m5,male,o,anchor,-20
10,m8,male,a,anchor,-70
10,f8,female,i,anchor,-70
10,m1,male,a,anchor,-70
10,f6,female,o,anchor,-49
10,f5,female,i,anchor,-69
10,f8,female,o,anchor,-70
10,f5,female,a,anchor,-50
10,f5,female,o,anchor,-70
10,m4,male,a,anchor,-70
10,f4,female,o,anchor,-50
10,f1,female,o,anchor,-70
10,m2,male,i,anchor,-50
10,m5,male,a,anchor,-50
10,m2,male,o,anchor,-50
10,m8,male,i,anchor,-50
10,f1,female,i,anchor,-70
10,f4,female,i,anchor,-50
10,f8,female,a,anchor,-50
10,f4,female,a,anchor,-50
10,f6,female,i,anchor,-70
10,m4,male,i,anchor,-50
10,m1,male,i,anchor,-70
10,f6,female,a,anchor,-50
10,m8,male,o,anchor,-50
10,m5,male,i,anchor,-50
10,m2,male,a,anchor,-50
10,m4,male,o,anchor,-50
10,f1,female,a,anchor,-50
10,m1,male,o,anchor,-70
11,f1,female,o,anchor,-26
11,f8,female,o,anchor,-31
11,m4,male,o,anchor,-51
11,m5,male,i,anchor,-21
11,m8,male,i,anchor,-30
11,m2,male,i,anchor,-34
11,m4,male,a,anchor,-21
11,m2,male,o,anchor,-20
11,f8,female,i,anchor,-20
11,m1,male,o,anchor,-25
11,m1,male,i,anchor,-18
11,m8,male,o,anchor,-25
11,f8,female,a,anchor,-20
11,f4,female,i,anchor,-24
11,f1,female,a,anchor,-60
11,f5,female,o,anchor,-9
11,m5,male,o,anchor,-40
11,f4,female,o,anchor,-33
11,f5,female,i,anchor,-60
11,f1,female,i,anchor,-43
11,m5,male,a,anchor,-45
11,f6,female,o,anchor,-31
11,f6,female,a,anchor,-30
11,f4,female,a,anchor,-30
11,m8,male,a,anchor,-24
11,f6,female,i,anchor,-30
11,f5,female,a,anchor,-18
11,m2,male,a,anchor,-19
11,m1,male,a,anchor,-36
11,m4,male,i,anchor,-17
12,f1,female,o,anchor,-31
12,f6,female,a,anchor,-30
12,m5,male,a,anchor,-37
12,f1,female,i,anchor,-58
12,f4,female,o,anchor,-61
12,m4,male,i,anchor,-24
12,m5,male,i,anchor,-6
12,m2,male,i,anchor,-31
12,m8,male,a,anchor,-22
12,m8,male,o,anchor,-7
12,f5,female,a,anchor,-65
12,m4,male,a,anchor,-51
12,f1,female,a,anchor,-41
12,f6,female,o,anchor,-67
12,m1,male,i,anchor,-64
12,f8,female,a,anchor,-42
12,m4,male,o,anchor,-50
12,f5,female,o,anchor,-28
12,m2,male,o,anchor,-78
12,m1,male,a,anchor,-52
12,f8,female,i,anchor,2
12,f4,female,a,anchor,-39
12,m2,male,a,anchor,-34
12,f8,female,o,anchor,-73
12,m5,male,o,anchor,-30
12,f4,female,i,anchor,-73
12,f5,female,i,anchor,-66
12,m8,male,i,anchor,-60
12,m1,male,o,anchor,-66
12,f6,female,i,anchor,-61
13,m5,male,a,anchor,-15
13,m8,male,o,anchor,-19
13,f4,female,i,anchor,-36
13,m4,male,a,anchor,-27
